A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0,-0.155023844,-1.901167356,2.615143915,1.091245248,1.642629141,0.378677135,-1.705311656,good
1,-2.73062432,-1.808060427,-4.085385815,0.172564326,-1.579260064,3.380989136,-3.847081054,bad
2,-0.599056927,2.046434357,-2.87766244,0.505388937,0.228995821,1.890558671,2.211755911,bad
3,-2.010945208,-1.426565514,-2.334610277,1.302376408,0.142686651,3.922958823,0.01769468,bad
4,-1.977979998,-0.229482705,1.283457917,0.23889794,1.049934948,0.682324062,0.369580215,good
5,-0.157160981,-0.860920462,-1.478031046,2.071683092,2.94561766,-2.891162417,-0.387311965,good
6,-1.275379374,-2.951184115,-0.478870465,-0.479450114,2.528807773,-0.433067368,4.280580332,bad
7,-1.231758106,1.36314074,-5.746674479,2.787436843,-0.703580047,1.627143084,0.105003839,bad
8,2.741078107,-2.681437136,-1.571581568,1.284662393,1.543035683,-0.063482277,0.387882819,good
9,1.473625522,-0.395561203,-3.009928905,-0.329944666,2.118433517,0.664160929,1.139624355,good
10,1.284971642,0.849861715,-1.540319903,0.692405613,-2.28322062,1.396856784,2.801796005,bad
11,0.734629309,-0.876739738,-2.192778445,0.86851334,1.652879227,2.114735275,-1.075872105,bad
12,0.155710034,-1.449870396,-3.619583428,-0.488881607,3.142917445,2.725126311,0.240346626,bad
13,-0.025881076,-2.799969111,0.442402392,2.767826154,-2.158892994,-1.15023488,-2.236208646,bad
14,-2.343689657,-1.701510486,2.10750729,-0.148572381,-0.154676747,1.904950373,-0.269680302,good
15,-1.722539295,-1.760806138,1.941921651,0.593022747,-0.045434962,-1.490277265,3.782451601,bad
16,1.843439162,-1.801133155,3.093698905,0.869796886,-1.241769184,-1.456677989,0.489432337,bad
17,-1.461459404,1.655113744,-5.197853411,3.17656635,-3.314250572,0.900396347,1.67188245,bad
18,-1.772238544,0.446927461,-1.533814526,2.003013093,3.603647172,-0.452172972,-3.646472989,good
19,1.432987534,-2.726885322,0.729770909,2.165785931,0.951947386,2.924848867,0.366164489,good
20,-2.561893576,-1.35131027,-0.820041029,1.49021894,-0.555785929,2.138507132,2.400152227,bad
21,-0.062090213,-0.213946902,-0.242225762,2.850387081,1.908284984,0.217773856,-0.247001025,good
22,0.829707742,-1.060489829,-4.084788164,-1.225554288,3.740484998,2.823865241,-1.932296411,bad
23,0.320942831,-4.124307629,3.894007436,-0.250681805,0.524529624,2.891305877,-0.832732459,good
24,-0.874152709,-2.635009936,-0.840066474,2.754217591,-4.90106902,-0.155717331,-1.290563234,bad
25,0.470831799,-1.473399053,-0.297608983,1.097209351,-1.543419789,-0.705121171,-0.035106956,good
26,-4.298454392,0.808509155,1.972696432,0.741376932,1.067130864,-0.926395059,-1.930633745,good
27,-1.117420987,-1.379325233,-1.274428562,0.484136657,1.478881722,1.372509488,1.721389057,bad
28,-2.805144564,-1.256288782,-1.206807215,1.272326212,-2.648016258,1.271345213,-1.424672113,bad
29,0.014502253,-3.911690589,4.235478098,-0.434868544,0.021195236,2.601020476,-1.29448487,good
30,-1.904318739,-1.998720664,0.949570545,1.572483221,-2.15011756,-0.628305308,-1.781651819,bad
31,-1.752549665,-2.286004624,-2.445240959,1.562363964,0.043698927,2.265704286,-3.156688048,good
32,-2.342518691,-0.083350345,0.184450344,0.195608734,1.512680038,0.793570162,-2.496322081,good
33,1.255845228,0.005443821,-0.64528722,2.248842885,-0.178882617,-1.553498766,1.475863572,good
34,-0.805738815,-1.773678065,2.338773638,2.555178009,2.975385799,-1.211171791,-0.632589366,good
35,-0.490313544,-2.693594239,-2.262928126,1.408218703,0.894130314,4.097052626,-1.192975776,bad
36,-2.133101288,-0.739687703,-0.748786782,0.474687947,1.771861564,1.257156655,0.260288653,bad
37,1.381277578,4.363065922,-2.569945288,2.139034728,-2.640239031,-0.034340364,0.242878626,good
38,-1.262207821,-1.911969091,0.601878858,0.972099597,2.363917532,0.220316134,2.311174821,bad
39,-1.526648293,1.079435328,-0.150570029,2.260794179,0.325322346,0.244583154,-0.331566813,bad
40,-1.771100824,0.307564105,1.831174568,1.434226006,1.015248742,-0.765246239,0.480489556,bad
41,-1.561175378,-1.003403528,-0.177572787,3.168429813,-1.721205206,2.084304622,0.599425465,bad
42,2.774242571,0.51125344,0.480234344,-0.255944255,2.470790564,-0.541019417,5.552320288,good
43,-2.964773899,-0.187183233,3.186063135,0.379487917,1.999168877,-1.860598181,-4.492389752,good
44,-2.402892717,-2.019973119,-2.540682943,0.670432423,0.182995281,2.845023369,-3.534843901,bad
45,1.176184455,0.384985062,-0.054683432,0.117878962,0.565895687,-4.605001995,3.991795286,bad
46,-0.612113509,-0.140382592,0.221056063,1.653169995,2.077000023,0.16699374,-1.365244029,good
47,0.837398282,-2.654211656,-1.325470018,0.162221211,0.288435564,-0.187760734,2.949225886,bad
48,0.294586351,-0.353755252,-0.540281839,2.859840442,0.671989996,1.291838185,0.920605642,good
49,-0.407202953,-1.17341051,1.736201949,1.519927897,1.629251428,0.056597688,-0.483888959,good
